answer_content,answer_id,answer_voted,question_id,user_id,user_agrees,user_edu,user_exp,user_followed,user_helped,user_interest,user_intro,user_recommends,user_saved,user_specialty,user_thanks,question_tags,question_content
"Nasal septal perf If you already have an issue with your nasal septum that puts you at risk for developing a septal perforation, use of saline nasal spray will not necessarily prevent the perforation from occurring. If you have not done so already, see an ENT for evaluation and treatment of the cause. This may prevent the perforation.",221733,1,100845,10014305,"5,592","Hahnemann Medical College, PA",23years,"[10005542, 10002287, 10015091, 10014441, 11080084, 10049935, 11079326, 11125605, 10005107, 11195338, 10010724, 10057975, 11196657, 10530715, 10011913, 10038570, 10040183, 10057041, 10002162, 10000070]","3,522,129","[Tonsillectomy adenoidectomy, Xeomin, Chemical and laser treatment for melasma, Sleep disturbances in childhood]","Anifat Balogun, M.D. is a graduate of Hahnemann University/ Drexel University College of Medicine. She completed internship in General Surgery at Montefiore Medical Center and Albert Einstein College of Medicine and a residency in Otolaryngology Head and Neck Surgery at Montefiore Medical Center. Additionally she completed a research fellowship at Manhattan Eye Ear and Throat Hospital and a Pediatric Otolaryngology fellowship at Le Bonheur Children’s Hospital in Memphis. Dr. Balogun’s areas of expertise include Facial Rejuvenation, Hearing Loss, Speech and Language Disorders, Snoring, Sleep Disordered Breathing, Sleep Apnea, Otitis Media, Tonsil and Adenoid Disease, as well as Sinus and Allergy Disease. Dr. Balogun strives to provide a relaxed environment, giving personal and caring attention to patients and their families. Through collaboration and education, Dr. Balogun helps parents take an active and informed role in their children’s care. She works closely with pediatric specialty physicians, audiologists, as well as pediatric speech, swallow and language therapists to provide comprehensive treatment plans for each individual in her care.","[I recommend this doctor.  Very insightful and I learn something new from these answers, Answers patient's questions in a timely manner.  Very knowledgeable!, One of the BEST ENT docs!.  Seattle is lucky!, Excellent physician!]",18,ENT and Head and Neck Surgery,"2,373","[Septal perforation, Nasal spray, Oxymetazoline, Sodium, Ear/nose/throat specialists, Perforated septum, Ear nose and throat]",Will using a salt water nasal spray help prevent developing a perforated septum?
"Perforated septum a perforated septum can occur after nasal trauma, with drug use and after surgery. Saline sprays are neither here nor there in preventing septal perforations. Have your nose evaluated by a board certified otolaryngologist,",2072359,0,100845,12735499,"4,672","State University of New York Downstate Medical Center College of Medicine State University of New York Downstate Medical Center College of Medicine, NY null",19years,"[10040183, 11889558, 10530715, 10003048, 11208135, 10019047, 11183703, 10049331, 20596297, 12229824, 12790320, 11194676, 11125609, 12743300, 11125605, 12763938, 12754694, 12735499, 10000422, 12716366]","3,787,635","[Deviated nasal septum, Facelift, Septoplasty, Facial plastic surgery, Botox, ENT and head and neck surgery, Dermal Fillers, Deviated septum surgery, Eye lift, Neck lift, Brow lift, Mini lift, Revision rhinoplasty, Constipation, Rhinoplasty, Rhinoplasty, Asian American health, Asian eyelid surgery, Blepharoplasty]",I am a double board certified facial plastic and reconstructive surgeon. My board certifications are in Otolaryngology Head and Neck Surgery and in Facial Plastic Surgery.,"[Thank you so much for your input benefiting not just the patients but other health care providers!  I appreciate you!, I recommend Dr. Galli for your facial plastic surgery issues., A fantastic physician who really cares for her patients., Great Doc!!!]",4,Facial Plastic Surgery,420,"[Septal perforation, Nasal spray, Oxymetazoline, Sodium, Ear/nose/throat specialists, Perforated septum, Ear nose and throat]",Will using a salt water nasal spray help prevent developing a perforated septum?
"May If you have a dry nose it may help to moisturize the membranes. Dry membranes can lead to septal perforation, though there are many more causes.",289757,0,100845,10049331,"3,310","University of Rochester School of Medicine and Dentistry, NY",28years,"[10003048, 11080084, 10004095, 10049991, 10005831, 11061343, 10005276, 11045923, 10014592, 10073610, 10014830, 10049981, 10007158, 12543253, 11387377, 10014285, 10049331, 11188319, 12229824, 10025116]","2,240,752","[Rhinoplasty, Facelift, Facial plastic surgery, Septoplasty, Eyelid lift, Nasal fracture, Nasal septum repair, Nasal polyp removal, Eye lift, Skin cancer]",I am a double board certified facial plastic surgeon. I practice facial plastic surgery and rhinology. I am Professor and Chair of the Department of Otolaryngology at the University at Buffalo.,"[Would recommend him to my patients., Ent specialist]",4,Facial Plastic Surgery,746,"[Septal perforation, Nasal spray, Oxymetazoline, Sodium, Ear/nose/throat specialists, Perforated septum, Ear nose and throat]",Will using a salt water nasal spray help prevent developing a perforated septum?
"Possible While it is know that marijuana causes chromosomal breakage, it is not clear whether it is responsible for miscarriages and infertility. I usually advise my patients to err on the side of caution and stay away from it.",1432213,7,1008600,11086259,"1,553","University of Pittsburgh School of Medicine, PA",27years,"[10530715, 10004644, 11188319, 10000408, 12279393, 10001484, 10003048, 12737571, 10002944, 12659799, 10011998, 10014299, 11194676, 10532678, 10000414, 11144895, 11060227, 10064773, 11146675, 11205404]","1,867,044","[Female Health, Polycystic ovarian syndrome, Ovulation, Fertility, Infertility, Clomid, Clomiphene, Pregnancy loss, Getting pregnant, IVF pregnancy, Progesterone, Spontaneous abortion, Ectopic pregnancy, Uterine fibroids, Amenorrhea, FSH, Prolactin, Premature ovarian failure, Hysterosalpingogram, Turner syndrome]",,[Very timely and accurate responses.],9,Fertility Medicine,670,"[Infertility, Smoking, Pregnancy, Marijuana, Ganja, Cannabis]","My wife recently has had 3 miscarriages - 2 of them chemical pregnancies, one at 7 weeks. I am a marijuana smoker (2-3 a week)  - is there a chance the weed is to blame? We have a 2 year old daughter"
"No reason 2 think so I'm sorry about your losses. People with agendas have tried to find dangers from cannabis for many decades with little success on any front; it's not a mutagen for your sperms and i'm sorry if anyone suggested this. Things are hard enough for you both right now without blaming yourself. I'm glad you have each other -- can you be ""high on life"" perhaps without even needing weed to make you silly?",1432217,4,1008600,10038619,"39,410","Northwestern University Feinberg School of Medicine, IL",39years,"[11080084, 10003512, 10056744, 10057041, 11682263, 10038441, 10005107, 10040212, 10049991, 10007158, 11447928, 10009095, 11045923, 10056456, 11158724, 10045171, 10003619, 10049366, 10530715, 11168851]","137,351,056","[Cancer, Acne, Human immunodeficiency virus, Nutrition, Female Health, Child Health, Breast cancer, Male Health, Vitamin deficiency, Breast carcinoma, Pap smear, Scars, Exercise, Anemia, Lung cancer, Iron deficiency anemia]","With a humanities background and board-certifications in anatomic pathology, clinical pathology, and ringside medicine, ""The Pathology Guy"" accidentally created one of the first medical sites providing information to individuals during the 1990's, and during those heady times handled 20-30 questions like these per day. http://www.pathguy.com remains a popular site for pathology teachers, learners, and the curious public. He has chaired the pathology department at Kansas City University of Medicine and Biosciences since February 1992. His medical school roommate, distinguished radiologist Joe Panella MD, described him as the only loner he knows who doesn't whistle. ""The Pathology Guy"" is glad to see so many colleagues now answering the public's questions. Keep it up teammates -- where there is love of medicine, there is love of humankind.","[What a delight it is to read Dr. Friedlander's posts. He is direct and his advice is personalized clearly. He's kind as he tells it like it is, without waffling. While doing so, he also recognizes full well that we all deserve respect, frankness, and honesty when dosing out wisdom, whether to patients, the public, or his peers., Very knowledgeable and capable of conveying his thoughts in a very clear way. Uncommon gift of empathy for those asking the questions, yet answers directly and unhesitatingly. It is a pleasure to read his responses and to learn from him. For a pathologist I find him refreshingly conversant with the living!, Dr. Friedlander is an excellent physician who really knows what he is talking about. I am sincerely happy to be in connection with him on Healthtap. I highly recommend Dr. Friedlander: his straightforward excellent answers are a great resource both to patients & drs. Thank you Dr. Friedlander !, Dr Friedlander is an extremely knowledgeable physician who continually gives superb advice on an incredible range of medical conditions. Hi9s answers are always accurate & totally reliable. We are very fortunate to have him as a colleague on Healthtap., As a former student of Dr. Friedlander I can say that he is quite brilliant and very quick with often very insightful and helpful witticisms.  He has a great love of medicine and, I believe, an even greater love of teaching medicine to others., A very knowledgable individual. I had the privilege of attending his pathology course as a medical student in Kansas City, MO. I have appreciated his contribution to my education and value the solid core foundation he contributed in providing.]",258,Pathology,"13,141","[Infertility, Smoking, Pregnancy, Marijuana, Ganja, Cannabis]","My wife recently has had 3 miscarriages - 2 of them chemical pregnancies, one at 7 weeks. I am a marijuana smoker (2-3 a week)  - is there a chance the weed is to blame? We have a 2 year old daughter"
Cannabis use by Mother. Studies through vanderbilt university medical center have linked cannabis with ectopic pregnancy and early miscarriages.,1472141,0,1008600,11202683,"144,927",Uniformed Services University of the Health Sciences F. Edward Hebert School of Medicine University of New Hampshire National University,20years,"[10001527, 10056048, 11080084, 10005868, 10011107, 10013908, 10038590, 10005085, 10055016, 10038441, 10004960, 10038868, 10019047, 12111326, 10005831, 11946103, 20680097, 10538896, 10027773, 10071091]","532,064,951","[Sleep, Anxiety, Female Health, Exercise more, Exercise, Depression, Psychiatry, Eat Healthier, Stress, Losing Weight, Stress less, Psychiatric drug, Insomnia, Exercise program, Acupuncture, Sleeping better, Health education, Women's health, Anxiety disorder, Lifestyle changes]","As a practitioner I strive to address emotional, physical and spiritual well-being through psychological interventions, use of psychiatric medications and acupuncture. Current services include: Comprehensive assessment, psychotropic medication management, psychodynamic psychotherapy, Mood disorder Group therapy, Substance Abuse assessments, Fitness for Duty evaluations & forensic evaluations. My work as an acupuncturist focuses on mental health issues as well as treating a multitude of physical conditions and injuries. I currently provide care only to Department of Defense beneficiaries. Dr. Fowler received her medical degree from the Uniformed Services University of the Health Sciences. After an internal medicine internship she trained in Undersea/ Hyperbaric Medicine & radiation health at the Naval Undersea Medical Institute and then worked operationally as a submarine medical officer and diver. She completed a residency in psychiatry at the National Naval Medical Center. Tours in both Japan & Guantanamo Bay, Cuba were punctuated by debriefings at the South Pole, Antarctica. She led the Navy’s west coast Special Psychiatric Rapid Intervention Team & provided immediate, on-the-ground psychological health support following disasters. She provided crisis interventions for events which included Diego Garcia, Indian Ocean after the eruption of Mount Pinatubo (Philippines), the 1994 Los Angeles earthquake & remote support of operational units after Hurricane Katrina. Areas of specialized training include Domestic Violence, Post Traumatic Stress Disorder, Crisis Intervention and Substance Abuse. After 27 years of military service, Dr Fowler currently works as a civilian supervisory psychiatrist & an acupuncturist for the Naval Health Clinic New England in Newport, RI.","[Day after day, Dr. Fowler answers scads of patient questions tirelessly while managing to handle each one with care and thoughtfulness. She's earned the respect and admiration of many docs here as both a colleague and a leader - one who readily cheers us on and one who humanizes us all with the funny and folksy expressions that dot her answers. (Whoah Nelly, indeed!)  Hats off to Dr. Fowler!, When a physician has so many colleagues who admire her and her work, it should not be a surprise that she is an outstanding doctor. But Dr. Fowler has that something extra that almost seems magical. She's a true Humanitarian, and I consider it a blessing to have her be part of the HealthTap community. Here's to you Dr. Fowler, for all you are and do for patients and colleagues alike. Cheers!, I've had the opportunity to interact with Dr. Fowler for the last several months on the former Avvo Health website where she was THE Top Doc bar none. Her answers to psychiatric questions are spot on and serve as an excellent source of information for non-psychiatrists. This is complemented by her overall fund of general medical knowledge which she dispenses in a compassionate manner., WOW!  I decided to read the recommendations from other doctors before writing mine.  Five minutes later I still have not gotten to the bottom of the list.  Hard to add to all of this but I must say I love reading Dr. Fowler's responses, concise, to the point and done with a sense of compassion and an endearing sense of humor.  I highly recommend her and learn a lot from her., Dr. Fowler is a conscientious contributor to the community, providing insightful opinions to people in need. Although many physicians are perhaps skeptical of the services this, and other medical information websites provide, there are a growing number of disenfranchised people out there who need some help, understanding, and kindness. Dr Fowler helps provide all three., I only know Dr. Fowler from interacting with her on avvo.com.  Reading her answers, I can't help but sense the deep compassion this fine doctor possesses.  She goes out of her way to answer people's questions, and will research topics that are not even in her area of expertise to provide assistance. Dr. Fowler comes across as a great doctor and a wonderful human being!]",493,Psychiatry,"38,420","[Infertility, Smoking, Pregnancy, Marijuana, Ganja, Cannabis]","My wife recently has had 3 miscarriages - 2 of them chemical pregnancies, one at 7 weeks. I am a marijuana smoker (2-3 a week)  - is there a chance the weed is to blame? We have a 2 year old daughter"
"Adenoids ; snoring Hello, when we prescribe intranasal steroids, we are doing so to help reduce swelling within the nasal cavity. Since your child noted a resolution of the snoring it seems like now there are a few options. Surgical removal of the adenoids, continued ins use or possibly an allergy eval to determine if the adenoids tissues are reactive to allergy. I would recommend the allergy eval. As your doc.",1442458,3,1015574,12323812,"2,540","Philadelphia College of Osteopathic Medicine, PA",24years,"[11387377, 10014305, 10058367, 10014441, 12770019, 10523999, 11125605, 10052353, 10005209, 10000408, 10010426, 10004095, 11109271, 10004448, 10014088, 11125609, 10053027, 10005498, 10014033, 11208135]","1,892,055","[Cough, Ear infection, Chronic sinusitis, Headache, Tonsillitis, Endoscopic sinus surgery, Voice disorders, Allergic reaction, Eustachian tube dysfunction, Throat cancer, Acute sinusitis, Nosebleeds, Gastroesophageal reflux disease, Non allergic rhinitis, Skin cancer, Hearing loss, Nasal polyps, Tinnitus]","We at Northeast a Ear, Nose and Throat Associates strive to continue to provide the utmost in complete family ENT care. We are proud of our committment to our community and plan to continue another18 years of service. We understand the importance of the medical dollar, your deductibles and precious time. At present we are initiating changes to enhance our treatments with your best interests in mind. Our reputation is impeccable, our devotion is true and our committment is guaranteed.","[Thank you for bringing your expertise to Health Tap for both the patients and the doctors to benefit from !!!  I appreciate your advice!, An excellent ENT surgeon who provides succinct yet thorough and compassionate answers. I would highly recommend Dr. Gergits., Great doctor. Consistently gives thoughtful, insightful and expert advice., Very accurate and timely responses.]",10,ENT and Head and Neck Surgery,879,"[Caries, Snoring, Enlarged adenoids, Hypersensitivity, Sleep apnea, Surgery, Cavity, Allergies, Children, Snoring]",My 7 yrs old has enlarged adenoids. His ENT has given him nasonex spray  for  2 months two times. After treatment he stopped snoring. But he starts snoring again after couple of weeks after stop med.
Temporary effects The nasal steroid only works while you use it. The steroid shrinks the inflamed tissue and stops the turbulent airflow that causes the snoring.,1442427,2,1015574,12455792,99,"Medical College of Georgia School of Medicine, GA",16years,"[25812511, 12428309, 10014573]","64,428",,I practiced pharmacy after graduating from the University of Georgia College of Pharmacy. I did not feel intellectually challenged and decided to go to medical school. My pharmacy background has been invaluable to me in my practice and i do not regret my educational choices. I love practicing medicine and maintain a very busy pediatric practice. I also have an interest in acupuncture and nutritional therapy for disease.,"[Dr. Hester is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Hester is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",,Pediatrics,47,"[Caries, Snoring, Enlarged adenoids, Hypersensitivity, Sleep apnea, Surgery, Cavity, Allergies, Children, Snoring]",My 7 yrs old has enlarged adenoids. His ENT has given him nasonex spray  for  2 months two times. After treatment he stopped snoring. But he starts snoring again after couple of weeks after stop med.
"can choose First, if he is snoring but otherwise sleeping well and not having problems during the day, then it may be ok for him to snore. Adenoids shrink from steroids about 50% of the time. When they swell again this is usually from allergy. If he is having snoring and bedwetting, daytime tiredness, behavior or concentration problems, options are to keep him on the nasonex, to have the adenoids removed.",1453856,1,1015574,10054974,814,"University of California, San Francisco School of Medicine, CA,2002",13years,"[11188319, 12324491, 12684797, 11087604, 12543253, 11832999, 11183703, 10003568, 10014299, 10054675, 10013293, 10013880, 12363070, 10024916, 10007901, 10000008, 12346026, 11057151, 10056795, 11089553]","237,148","[Ear infection, Snoring, Cochlear implant]","I trained at the University of Michigan for my Otolaryngology-Head and Neck Surgery (ENT) residency where I received excellent training in my field. I went on to do a fellowship for an additional year at the Lurie Children's Hospital in Chicago where I gained further expertise in cochlear implants, complex airway problems, and pediatric head and neck masses. I treat all pediatric ENT diseases from the most common things such as tongue tie, snoring and ear infections, to complex problems of hearing and breathing. I treat any child from 1 day old to 18 years old. My focus is on developing a collaborative approach to your child's care which involves providing excellent education to parents so that they can make informed choices for their children.","[Dr. Meyer is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Meyer is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",2,Pediatric ENT and Head and Neck Surgery,260,"[Caries, Snoring, Enlarged adenoids, Hypersensitivity, Sleep apnea, Surgery, Cavity, Allergies, Children, Snoring]",My 7 yrs old has enlarged adenoids. His ENT has given him nasonex spray  for  2 months two times. After treatment he stopped snoring. But he starts snoring again after couple of weeks after stop med.
"It's possible Sex-steroid binding globulins affect the levels of hormones (both male and female hormones). Some hormone deficiencies can cause fertility problems, but they certainly are not specifically effective in preventing pregnancy. If you are trying to conceive, see a doctor. If you are trying not to conceive, see a doctor!",1469188,1,1015685,10055456,"2,336","University of Texas Medical School at San Antonio, TX",32years,"[10019047, 10003048, 10056456, 12743300, 10075023, 10049991, 10000414, 10532678, 12770740, 10007201, 11205260, 12647808, 10001713, 12716366, 10054675, 12363070, 11109271, 25715211, 11951132, 11940386]","1,875,024","[Ear infection, Pediatrics, Behavior problems, Asthma in children]","Dr. Coldwater is a Board-certified Pediatrician with over 25 years of experience in the Austin pediatric community. She is Austin-born and has lived in the Austin area most of her life. She is a graduate of The University of Texas at Austin where she received a BA in Psychology. She attended The University of Texas Medical School in San Antonio and completed her Pediatric Residency at the Austin Pediatric Education Program. She has extensive experience in the treatment and care of children of all ages, including well child/adolescent care, care of sick children, newborn care, and coordination of specialists for children with complex medical issues. Dr. Coldwater has a special interest in children with asthma, ADHD, and school or behavioral concerns. Dr. Coldwater enjoys working with children and their families, educating and empowering children and adolescents to stay healthy. Taking care of families as they grow and develop is a special joy for her. Dr. Coldwater’s other interests include crocheting colorful blankets for friends, family and donations to Safe Place. She has traveled to Honduras twice on medical mission trips. She enjoys kayaking, rowing, practicing qigong (a form of Tai Chi), and reading. She has two sons pursuing their studies in college.","[Dr. COLDWATER is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. COLDWATER is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. COLDWATER is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Very helpful]",12,Pediatrics,833,"[Infertility, Trying to conceive, Sex, Steroids, Hormone, Fertility, Pregnancy]",Can you get a girl pregnant if you have low sexual binding globulin?
