answer_content,answer_id,answer_voted,question_id,user_id,user_agrees,user_edu,user_exp,user_followed,user_helped,user_interest,user_intro,user_recommends,user_saved,user_specialty,user_thanks,question_tags,question_content
"Weeks to months There is no hard and fast rule. In studies that tried to detect lung cancer early using a chest x-ray, almost half of the cancers appeared within a year of a normal x-ray. Taking into account the rate of growth of a cancer cell, and the minimum size needed for detection on x-ray, a good estimate for small cell is a few weeks to a few months.",162937,3,100171,10014284,"7,472","American University of Beirut Faculty of Medicine, Lebanon",19years,"[10005542, 10002287, 10005831, 10011107, 10003512, 10005507, 10049935, 10014592, 11125605, 10005107, 10014305, 10010724, 10057975, 11196657, 10002907, 10038570, 11188319, 10057041, 10002162, 10000070]","4,785,543","[COPD, Sleep apnea, Asthma, Lung cancer]",,"[Dr. Hatem provides very helpful answers to patients -- and educates me too!  I appreciate his presence here on HealthTap, and heartily recommend him., I recommend you as a well know expert in your field.
Dr Jakavick would recommend this Dr To all who seek their expertise., I enjoy learning from this doctor and I am sure that patient do too, Good Answers, provide helpful feedback]",12,Pulmonary Critical Care,"1,351","[Cancer, Lung cancer, Small cell lung cancer, Xray of chest]",Small cell lung cancer. How long was it there when you can see it on x-ray?
"Since it is the Fastest growing lung cancer and the one that screeningchest x-rays rarely caught, the usual reason for this question is that you had a symptom or an x-ray and it was not seen, is there malpractice? Most sclc is central and endobrohchial befre it is seen as nodal enlargement in the hilum or the medistinum. It is always caused by smoking. Treatment can be quite successful.",254026,0,100171,10040212,"12,595","Georgetown University School of Medicine, DC",41years,"[10538896, 11447928, 11080084, 10014592, 11125605, 11208135, 11195338, 10010724, 10057975, 10040614, 10011913, 10038570, 10040183, 10057041, 10000070, 10000201, 10040212, 10071091, 10055439, 10049933]","10,187,176","[Lung cancer, Radiation therapy, Small cell lung cancer]","Dr. Turrisi is board certified in internal medicine, medical oncology and radiation oncolgy. Presently practices radiation oncology full time in Flint, Michigan. While a recognized international expert in the diagnosis and treatment of lung cancer, particularly small cell lung cancer, he is heavily engaged in treating prostate, breast and colorectal cancer in an inner city and rural environment. He is also known for movie reviews.","[Dr. Turrisi is a world leader in the field of radiation oncology, and has invented the standard of care in the treatment of many disease, most famously small cell lung cancer. One of my greatest professional regrets is that I failed to convince him to serve as chairman of our department., A renaissance man and physician. Loquacious with content and humor. And a scholar of lung cancer and medicine in general., Detroit is lucky to have such a good doc!, An Excellent physicain, Excellent physician!]",15,Radiation Oncology,"1,402","[Cancer, Lung cancer, Small cell lung cancer, Xray of chest]",Small cell lung cancer. How long was it there when you can see it on x-ray?
"Appearance versus Initiation time of small cell lung cancer. Many will assert that they can tell by ""doubling time"" the non-small cell types. I find this speculative and not proven. Small cell seems to appear much more rapidly and be large and even metastatic at first appearance. A 1 cm lesion has 7 logs of cells. Small cell have less cell-loss than other tumors lacking apoptosis, it takes months to get this big.",163545,0,100171,10040212,"12,595","Georgetown University School of Medicine, DC",41years,"[10538896, 11447928, 11080084, 10014592, 11125605, 11208135, 11195338, 10010724, 10057975, 10040614, 10011913, 10038570, 10040183, 10057041, 10000070, 10000201, 10040212, 10071091, 10055439, 10049933]","10,187,176","[Lung cancer, Radiation therapy, Small cell lung cancer]","Dr. Turrisi is board certified in internal medicine, medical oncology and radiation oncolgy. Presently practices radiation oncology full time in Flint, Michigan. While a recognized international expert in the diagnosis and treatment of lung cancer, particularly small cell lung cancer, he is heavily engaged in treating prostate, breast and colorectal cancer in an inner city and rural environment. He is also known for movie reviews.","[Dr. Turrisi is a world leader in the field of radiation oncology, and has invented the standard of care in the treatment of many disease, most famously small cell lung cancer. One of my greatest professional regrets is that I failed to convince him to serve as chairman of our department., A renaissance man and physician. Loquacious with content and humor. And a scholar of lung cancer and medicine in general., Detroit is lucky to have such a good doc!, An Excellent physicain, Excellent physician!]",15,Radiation Oncology,"1,402","[Cancer, Lung cancer, Small cell lung cancer, Xray of chest]",Small cell lung cancer. How long was it there when you can see it on x-ray?
Unknown The best screening test for high risk patients 50y/o or older is a low dose cat scan thorax. Traditional x-rays are likely to miss early lung cancers. Specially if centrally located.,167492,0,100171,10011667,"2,665","University of Puerto Rico School of Medicine, PR",33years,"[11447928, 10014592, 10057975, 10040614, 10057041, 10071091, 10010345, 10049933, 10005209, 11889558, 10053027, 10058367, 10014033, 12381652, 10011998, 11048549, 10014627, 12790320, 10010580, 10014344]","1,141,023","[Aortic aneurysm, Lung cancer, Coronary artery bypass graft, Aortic valve replacement]","55 y/o ABTS certified, 18 years experience in cardiac vascular thoracic surgery. Past 12 years solo practice in Indiana.","[I know Dr. Matos-Cruz personally. Worked with him for several years. If you have thoracic surgical issues, he's the one you you want on your case!  He's compassionate, knowledgeable, and (perhaps not useful on a computer) terrific in the OR!, Thanks for your contribution at Health Tap, Very timely and accurate responses., I recommend this physician!]",3,Thoracic Surgery,462,"[Cancer, Lung cancer, Small cell lung cancer, Xray of chest]",Small cell lung cancer. How long was it there when you can see it on x-ray?
No. The latency period for cancer induction is at least 5-10 years and the radiation dose from a routine head ct is neglible.,1446571,3,1010147,11952575,"1,290","Jefferson Medical College of Thomas Jefferson University, PA",24years,"[11447928, 11080084, 10005209, 11755506, 10056456, 10014627, 10014344, 11395347, 11045923, 11048549, 10058367, 10075023, 10027730, 10014299, 10014033, 10000361, 10532678, 10002907, 11832999, 11125609]","599,463","[CT scan, MRI scan, PET scan, Nuclear medicine, Oncology]","I am active in my community, serving on our local school board and as a cub scout den leader for 7 years. I enjoy fishing, reading and the shooting sports as well as many aquatic activities.","[Dr. Chmielewski has an excellent knowledge base that far exceeds the scope of radiology. He is providing an excellent service to the public. I endorse 
Dr. Chmielewski., Outstanding knowledge!]",2,Diagnostic Radiology,281,"[Neoplasms, Cancer, Brain tumor, Ct scan, Gamma rays, Ct of head, Computed tomography, Irradiation, Radioactive]",Do you thing the radiation i got from head CT scan 3 years ago gave me a brain tumor-im asking because im having a brain tumor symptoms now im worry?
"very unlikely Radiation can indeed cause brain tumors, but the risk is related to the dose of radiation and is most common with radiation therapy, that is lots of dose to treat an existing brain tumor. It is highly improbable that a diagnostic ct scan you had 3 years ago has caused a brain tumor. See your doctor for an explanation of your symptoms, which you have not described here.",1446325,2,1010147,11194868,914,"MD, University of Miami School of Medicine PhD, University of Miami",35years,"[11447928, 11125605, 11755506, 11045923, 10007201, 25826657, 12543305, 11520083, 12384496, 25812511, 10523582, 12432420, 11189659, 11194868, 7194552, 7668513, 7685244, 7094900, 7452471, 7591372]","1,097,365",[Brain tumor],,"[Dr. Miller is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Miller is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",3,Pathology,303,"[Neoplasms, Cancer, Brain tumor, Ct scan, Gamma rays, Ct of head, Computed tomography, Irradiation, Radioactive]",Do you thing the radiation i got from head CT scan 3 years ago gave me a brain tumor-im asking because im having a brain tumor symptoms now im worry?
"See below It is unlikely to develop brain cancer fron one ct scan 3 yrs ago. If you are concerned with your symptoms, pls see yoir dr to get answers. Good luck.",1434955,2,1010147,12426158,"1,031",university of Santo Tomas,17years,"[12111326, 11083895, 10014887, 11048549, 11387377, 10075023, 10010580, 10003096, 11996614, 11202683, 10004335, 11195703, 11520083, 11505647, 11951132, 11193858, 12432307, 10011658, 10000007, 10523942]","459,404",,,"[Dr. Salcedo  is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Salcedo  is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",3,Internal Medicine,287,"[Neoplasms, Cancer, Brain tumor, Ct scan, Gamma rays, Ct of head, Computed tomography, Irradiation, Radioactive]",Do you thing the radiation i got from head CT scan 3 years ago gave me a brain tumor-im asking because im having a brain tumor symptoms now im worry?
Probably not The dose from a single ct scan probably would not cause you to develop a brain tumors. Most brain tumor are sporadic. It pretty much impossible to predict who will develop one and why. Please see your doctor if you are worried.,1435395,0,1010147,12455774,"1,494","Louisiana State University School of Medicine in Shreveport, LA",24years,"[10038868, 10000305, 11188319, 10040212, 10054675, 11827603, 11395347, 11139349, 11755506, 11996614, 12763938, 11832999, 10056780, 12647808, 10013919, 10005520, 10011658, 11051988, 11850852, 11092583]","1,408,440","[Cancer, DPMG histology]","Attended medical school at LSU Medical Center in Shreveport then completed and internship in Pediatrics at MUSC in Charleston, SC. From there I completed a 4 year Anatomic and Clinical Pathology residency at the Ochner Foundation in New Orleans. Now in private practice in McKinney, TX and part of ProPath. Currently medical director of lab at Medical Center of McKinney. Interested in dermatology as well.","[Dr. Hebert is providing an excellent service to the public via Healthtap.com. He is knowledgeable in a number of areas of medicine. I endorse Dr. Hebert., Dr. Hebert is an excellent pathologist!]",11,Pathology,637,"[Neoplasms, Cancer, Brain tumor, Ct scan, Gamma rays, Ct of head, Computed tomography, Irradiation, Radioactive]",Do you thing the radiation i got from head CT scan 3 years ago gave me a brain tumor-im asking because im having a brain tumor symptoms now im worry?
Disc herniation If your symptoms are left sided and consistant with a l 5 or s1 distribution might want to try an injection for diagnostic reasons good luck mostly good news no significant arthritic nartowing of nerve passages.,1435548,3,1010387,10045482,"5,395","University of Nebraska College of Medicine, NE University of Nebraska College of Medicine, NE",26years,"[10004464, 10070856, 10003048, 10056048, 10049933, 11080084, 10002907, 10010426, 10014305, 10049991, 10019047, 10530715, 11083895, 11387377, 12324491, 12543253, 11204938, 10056456, 10040350, 10000414]","5,900,505","[Backaches, Scoliosis, Back pain, Pain in the back, Sciatica, Abnormal curvature of the spine, Bulging disk, Spinal fusion, Spinal stenosis]",Former military doc now seeing patients needing help navigating backpain treatment options no longer operating after12 year surgical career,"[An overall excellent physician and spine surgeon who posses a special trait in diagnosis and treatment of back pain., Excellent and knowledgeable in both general orthopedics and in spine subspecialty., Excellent spine surgeon]",13,Orthopedic Spine Surgery,"1,382","[Back pain, Herniated disk, Numbness, Pain in the back, Low back pain, Sciatica, Mri, Magnetic resonance imaging, Nerve]",Back pain & numbness in foot after MRI report l5-s1: wide based shallow disc herniation eccentric to left. Mild degree facet prominence. Central canal not significantly stenotic. What does this mean?
"Spine Pain Options This chronic pain in the distribution as you suggested is the result of an irritated nerve or facet joints or other injury typically in the lumbar spine (low back) which are caused by herniated disks, spinal stenosis or degenerative disc disease, etc requiring further evaluation by a spine specialist and may be candidate for facet injections/radiofrequency ablation and epidural steroid injection.",1676217,1,1010387,12324491,"13,078",Touro University California College of Osteopathic Medicine,12years,"[7553169, 10538896, 10056546, 11387377, 10013996, 10005496, 10070856, 10002907, 10057041, 10011913, 10002162, 11682263, 10014344, 12324491, 11195338, 10058367, 10014441, 10005085, 12770019, 10523999]","7,297,552","[Sciatica, Pain in the back, Epidural steroid injection, Osteoarthritis, Neck pain, Migraine, Botox, MRI of spine, Radiofrequency ablation, Rhizotomy, Complex regional pain syndrome, Lumbar facet injection, Stem cell therapy, Nerve injury, Lumbar facet rhizotomy, Xray of spine, Lumbar sympathetic block, Stellate ganglion block, Percutaneous discectomy]","Dr. Qamar Khan, DO is a board certified Pain & Spine Specialist. He has had extensive training in Orthopedics, Physical Medicine &Rehabilitation, Sports Medicine, Neurology and Anesthesia Based Interventional Pain Management which makes him one of the most well rounded and best trained physician in the country. He currently is the *ONLY* Board Certified Physical Medicine & Rehabilitation (Physiatrist) doctor who has completed an Accredited Academic University Based Pain Fellowship in the entire state of Utah. We are now the ONLY certified providers for Utah offering the Nation's Most Advanced Stem Cell and Platelet Therapy options (Regenexx Stem Cell Procedures) for those patients with degenerative joint disease, degenerative disc disease and sports injuries who want to avoid surgery.","[Dr. Khan has provided great answers to difficult questions. He has also been supportive, helpful, and a wonderful Health Tap physician, who takes to time to  help new doctors with the platform. He is a wealth of knowledge, and great clinical information. Great job!, Dr. Qamar Khan offers great responses on Healthtap. He is very good at his craft and his knowledge comes through clearly and succinctly. It is great to have such an active pain management doc on Healthtap. We will all be enriched by his responses., Excellent well thought out answers. An excellent resource for patients and an asset to healthtap. Anybody who takes their personal time, to answer patient questions and does so without anything in return is fine by me., Dr. Khan consistently answers challenging questions with knowledge , patience and compassion. It's a great privilege to be his colleague here on Healthtap. I highly recommend Dr. Khan., I have just reviewed several of Dr. Khan's answers and from what I 've seen they have all been thoughtful, concise without being glib, in plain language, and they answer the question!, Dr. Kahn is very knowledgeable, thoughtful and answers complex questions in a straightforward easily understandable manner.  He is an outstanding asset to the HealthTap community.]",27,Pain Management,"1,063","[Back pain, Herniated disk, Numbness, Pain in the back, Low back pain, Sciatica, Mri, Magnetic resonance imaging, Nerve]",Back pain & numbness in foot after MRI report l5-s1: wide based shallow disc herniation eccentric to left. Mild degree facet prominence. Central canal not significantly stenotic. What does this mean?
