answer_content,answer_id,answer_voted,question_id,user_id,user_agrees,user_edu,user_exp,user_followed,user_helped,user_interest,user_intro,user_recommends,user_saved,user_specialty,user_thanks,question_tags,question_content
"Possibly If you are constantly biting your tongue with your wisdom teeth, this could possibly create a bump. You should have this bump evaluated by your dentist so that they can determine its actual cause and what treatment, if any, is recommended.",1456469,3,1001588,11421313,"3,377",NYU Dental School,28years,"[10005831, 12515330, 11125605, 10052353, 10040212, 10038868, 10000408, 10052978, 12229824, 10055089, 10004448, 10000610, 10038577, 12543253, 10003048, 20596297, 10014428, 10055641, 10000414, 11375063]","1,980,863","[Fluoride, Child Health, Luride, Dental care, Dentistry, Caries, Children's health, Teething, Surgery, Dental caries, Abscess, Dental sealants, Dental Health, Dental Xrays, Baby bottle tooth decay, Dental dam, Taking Antibiotics, Dental plaque, Teeth brushing]","I earned my Doctor of Dental Surgery Degree (DDS) from NYU Dental School in 1987 and completed my pediatric dentistry specialty training from Eastman Dental Center in 1989. My specialty training included treating children with special needs, dental phobias, and medically compromised children. I have been practicing pediatric dentistry in the village of Huntington since 1990 and currently lecture on the proper, safe use of fluoride to other dental professionals throughout Nassau and Suffolk Counties.","[Dr. Howard Schneider is one of the leading pediatric dentists on Long Island.  From the minute you walk in the door, you can tell that he is totally dedicated to patient comfort and the best possible care for your children. Dr. Schneider pays close attention to the details, he goes far above and beyond with continuing education. I have a great deal of respect for him and recommend him highly., Dr. Howard Schneider is accurate and succinct in his answers. His background and experience clearly shines! Dr. Don E. Millner MAGD FICOI, Top notch Pediatric Dentist with a wide range of knowledge.  Highly recommend., A very knowledgeable and dedicated Pediatric Dentist., Great Dentist!!!]",9,Pediatric Dentistry,593,"[Dealing with wisdom teeth, Oral surgery, Oral and maxillofacial surgery, Wisdom tooth extraction]",Can wisdom tooth cause tongue bumps? How to get rid of this?
Yes If the wisdom tooth is decayed of infected it can lacerated the edge of the tongue and or irritate it to have bumps on its edge. . See your dentist to examine that wisdoms tooth and may be have it extracted.,1468208,2,1001588,11359708,"1,422",New York University College of Dentistry NYU,4years,"[10073610, 12543253, 11387377, 11183952, 10058367, 11109271, 11045923, 12763938, 10075023, 11060227, 12773217, 11359708, 11940386, 11184411, 26122730, 11503678, 11183601, 11184419, 11050044, 12372400]","1,524,483","[Root canal, Oral Surgery, Dental Implants, Child Health, Cosmetic dentistry, Teething]",https://www.healthtap.com/www.todaysdentalgroup.com,"[Great doctor. Consistently gives thoughtful, insightful and expert advice.]",4,Dentistry,504,"[Dealing with wisdom teeth, Oral surgery, Oral and maxillofacial surgery, Wisdom tooth extraction]",Can wisdom tooth cause tongue bumps? How to get rid of this?
No The tongue bumps are most likely your taste buds. Have your dentist take a look at your tongue and your wisdom teeth.,1467302,1,1001588,11183952,"17,424","New York University College of Dentistry City University of New York, Brooklyn College",49years,"[11080084, 10019047, 12111326, 11946103, 11447928, 11050720, 10073610, 10014830, 12770019, 11387377, 12653404, 11089577, 11204938, 10004464, 10005496, 10526410, 10530715, 10014344, 10532678, 11682263]","33,668,915","[Dentistry, Dental Health, Dental care, Child Health, Dental Implants, Gum Disease, Cosmetic dentistry, Managing Teething]","My biggest pleasures in the office are having fun with my young patients and those special relationships I've formed with many of my long time patients. Converting my patient's fears into a sense of comfort and trust has to be a close second. Finally, seeing my dentistry hold up for decades is one of my greatest rewards. Gaining the respect and trust of both my patients and colleagues alike, tells me that I've proven my expertise both personally and professionally.","[I endorse this dentist. I have had the privilege and pleasure of knowing Dr. Sandler for close to 20 years. My experiences of working with him have been always positive. Patient feedback is always exceptional and patients expectations have been met and exceeded. He is a kind, caring and compassionate man who seeks perfection in his work. Dr. Sandler is constantly being educated with the newest knowledge and techniques in his field., I have followed Dr. Sandler's comments to patients and practitioners alike for several months. His answers to patients are caring, thorough, and obviously fully researched. HIs advice to practioners is spot on--a trusted and erudite member of the dental community. It is a privilege to include him in my network of health care providers and resources., Dr. Sandler provides excellent advice to patients and peers. His advice is consistent with a high standard of care. His answers to questions on this site are well thought out and consistent with the kind of care I expect in a true dental professional. It is my pleasure to endorse him., Dr. Sandler is that one of a kind of professional that unfortunately is sometimes hard to find.  His expertise and professionalism is outstanding and seems to only follow his heart and compassion for patients.  I am proud to have met Dr. Sandler and I can not recommend him enough., I have been impressed by Dr. Sandler's professionalism.  He responds with care and passion and often goes beyond the call of duty in providing useful information in his answers.  I consider his patients to be lucky to have him as their dentist I endorse him without reservations., I know Dr. Sandler from the avvo community and I have experienced his commitment to his patients and dentistry. It's rare to find someone who makes an active effort to improve the field and it is from this that I am confident that Dr. sandler will not disappoint.]",44,Dentistry,"5,625","[Dealing with wisdom teeth, Oral surgery, Oral and maxillofacial surgery, Wisdom tooth extraction]",Can wisdom tooth cause tongue bumps? How to get rid of this?
"Unlikely Unlikely. Should be evaluated. For best results with wisdom teeth, make sure you are evaluated and treated by a board certified oral & maxillofacial surgeon.",2343533,0,1001588,12543253,"13,246","University of Washington School of Medicine, WA University of Pittsburgh School of Dental Medicine, PA",40years,"[7569692, 12838194, 7553169, 12838195, 7401832, 10001527, 10056048, 10005868, 10011107, 10013908, 10038441, 11946103, 20680097, 11447928, 10056546, 11193644, 10073610, 10014830, 10052334, 10005507]","7,734,960","[Oral Surgery, Oral and maxillofacial surgery, Tooth pain, Managing TMJ, Dental pain, Wisdom tooth extraction, Dealing with Wisdom Teeth, Facial pain, Facial plastic surgery, TMJ surgery, Oral cancer, Botox, Acne, Open repair of jawbone fracture]","DMD, MD, FACS. Licensed in both medicine and dentistry. Board certified in Oral & Maxillofacial Surgery, Otolaryngology/Head & Neck Surgery, and Facial Plastic and Reconstructive Surgery. Past full time faculty at UC Davis Medical Center, Sacramento, CA. Current clinical faculty at University of Washington School of Dentistry, Seattle, WA. Practice consists of TMJ and facial pain disorders, facial plastic and reconstructive surgery. Currently in full time private practice in Sacramento, CA. 87 Scripps Drive, Suite 112, Sacramento, CA 95825. Office phone 916-570-3088.","[Being trained, licensed, & board certified both medically (both otolaryngology AND facial plastic & reconstructive surgery) AND dentally (oral & maxillofacial surgery),Dr.Gallia is in possession of an incredibly impressive breadth of training, knowledge, and experience in his field.  His answers to questions are clear, precise, & very helpful,&it is my pleasure to recommend him very highly indeed., Although I live far from Dr Lou, I have had the chance to see his recommendations, his accolades and his patient satisfaction. I highly recommend Dr Lou for his experience, recognition nationally and His devotion to his community of patients., Great Doctor. He gets right to the point, addresses the issue in a straightforward manner and tells you who to follow up with. What more could you want. Glad to have him here on Healthtap.com. Impressed with his TMJ expertise., I have known Dr. Gallia to be extremely knowledgable as an oral surgeon and have been very pleased with the way he has teated my patients.  I have no hesitation in recommending him., Dr. Gallia is an expert in his field and I highly recommend searching him out for answers relating to ENT, maxillofacial, TMJ, and other related areas of interest!, Not your basic Or all Surgeon, best of the best! Very Experience Oral Surgeon many additional specialties. Definitely in good hands and highly recommended!]",11,Oral and Maxillofacial Surgery,"1,445","[Dealing with wisdom teeth, Oral surgery, Oral and maxillofacial surgery, Wisdom tooth extraction]",Can wisdom tooth cause tongue bumps? How to get rid of this?
"Many things Classically vitamin B12 or iron deficiency is the text book answer, but in the us today, this type of inflammation is more often caused by topical trauma, such as wind, cosmetics, or mouth pieces used in some sports. Some medicines cause the mouth and lips to become dry, and occasional allergic reactions to meds or foods have been reported.",172070,3,100377,10056426,580,Creighton University School Of Medicine,34years,"[10014592, 10071091, 10055439, 10005209, 10006323, 10056780, 10070747, 10014499, 10055926, 10006299, 10049879, 10011667, 11204023, 10070703, 10014209, 12310101, 7619822, 10056501, 10052355, 12423483]","158,883","[Cancer, Low blood count, Leukemia, Chemotherapy, Brain tumor]",,"[Dr. Warner is an amazing doctor! #nationaldoctorsday2015 #virtualflower1, Dr. Warner is an amazing doctor! #nationaldoctorsday2015 #virtualflower1]",,Hematology and Oncology,108,"[Low blood count, Inflammation, Poor nutrition, Vitamin deficiency, Anemia, Painful cracks at the corners of mouth, Cosmetics, Vitamins and supplements, Vitamin b12, Iron blood level]",What can cause angular cheilitis besides anemia or vitamin deficiency?
"Angular cheilitis Angular cheilitis, or cheilitis of the angles of the lips, is usually associated with dental procedures, flossing, change in bony structure/bite, reactions to oral hygiene products and secondary yeast infections. Retinoids, wind-burns, and allergies may aggravate the condition. Chronic lip licking is a common cause of cheilitis in young children as the saliva causes a repeated irritant dermatitis.",162663,1,100377,10057041,"16,668","University of Indonesia Faculty of Medicine, Indonesia",18years,"[7553169, 10001527, 11125605, 10005868, 10011107, 10013908, 9209416, 10005085, 10038441, 10038868, 10005831, 10071091, 11447928, 10014592, 10056546, 10073610, 10014830, 10014441, 12770019, 11387377]","13,574,505","[Cancer, Chemotherapy, Leukemia, Lung cancer, Lymphoma, Colon cancer, Skin cancer, Melanoma, Cervical cancer, Mouth cancer, Ovarian cancer, Multiple myeloma, Stomach cancer, Chronic myelogenous leukemia, Throat cancer, Oncology, Thrombocytopenia, Small cell lung cancer, Chronic leukemia, Oral cancer]",,"[I highly recommend Dr. Ho. Although she specializes in Hematology and Oncology - it is clear that her expertise extends well beyond that. She provides accurate, informative and easy to understand information. She is a real asset to Healthtap., Compassionate, on-target answers from a very wise physician.  Dr. Ho is a wonderful part of the HealthTap community, and provides excellent public service., Dr. Ho gives concise, pertinent information, and shares her vast knowledge and expertise over a wide variety of areas in medicine. Excellent work!., Dr Ho has a vast fund of knowledge that allows for effectively contributing to this online community of health., I recommend this doctor.  Very insightful and I learn something new from these answers, Dr. Liawaty Ho consistently provides knowledgeable and caring answers. She's great!]",25,Hematology and Oncology,"2,497","[Low blood count, Inflammation, Poor nutrition, Vitamin deficiency, Anemia, Painful cracks at the corners of mouth, Cosmetics, Vitamins and supplements, Vitamin b12, Iron blood level]",What can cause angular cheilitis besides anemia or vitamin deficiency?
"Several possiblities The most common cause is simply dry skin or some irritation followed by constant lip licking. Denture wearers with an over-closed bite is another common cause. Fungal infections, vitamin deficiency, stretching the lips during dental treatment are among some other causative factors. If this is a recurrent problem see a dentist and or physician.",738861,0,100377,11183952,"17,424","New York University College of Dentistry City University of New York, Brooklyn College",49years,"[11080084, 10019047, 12111326, 11946103, 11447928, 11050720, 10073610, 10014830, 12770019, 11387377, 12653404, 11089577, 11204938, 10004464, 10005496, 10526410, 10530715, 10014344, 10532678, 11682263]","33,668,915","[Dentistry, Dental Health, Dental care, Child Health, Dental Implants, Gum Disease, Cosmetic dentistry, Managing Teething]","My biggest pleasures in the office are having fun with my young patients and those special relationships I've formed with many of my long time patients. Converting my patient's fears into a sense of comfort and trust has to be a close second. Finally, seeing my dentistry hold up for decades is one of my greatest rewards. Gaining the respect and trust of both my patients and colleagues alike, tells me that I've proven my expertise both personally and professionally.","[I endorse this dentist. I have had the privilege and pleasure of knowing Dr. Sandler for close to 20 years. My experiences of working with him have been always positive. Patient feedback is always exceptional and patients expectations have been met and exceeded. He is a kind, caring and compassionate man who seeks perfection in his work. Dr. Sandler is constantly being educated with the newest knowledge and techniques in his field., I have followed Dr. Sandler's comments to patients and practitioners alike for several months. His answers to patients are caring, thorough, and obviously fully researched. HIs advice to practioners is spot on--a trusted and erudite member of the dental community. It is a privilege to include him in my network of health care providers and resources., Dr. Sandler provides excellent advice to patients and peers. His advice is consistent with a high standard of care. His answers to questions on this site are well thought out and consistent with the kind of care I expect in a true dental professional. It is my pleasure to endorse him., Dr. Sandler is that one of a kind of professional that unfortunately is sometimes hard to find.  His expertise and professionalism is outstanding and seems to only follow his heart and compassion for patients.  I am proud to have met Dr. Sandler and I can not recommend him enough., I have been impressed by Dr. Sandler's professionalism.  He responds with care and passion and often goes beyond the call of duty in providing useful information in his answers.  I consider his patients to be lucky to have him as their dentist I endorse him without reservations., I know Dr. Sandler from the avvo community and I have experienced his commitment to his patients and dentistry. It's rare to find someone who makes an active effort to improve the field and it is from this that I am confident that Dr. sandler will not disappoint.]",44,Dentistry,"5,625","[Low blood count, Inflammation, Poor nutrition, Vitamin deficiency, Anemia, Painful cracks at the corners of mouth, Cosmetics, Vitamins and supplements, Vitamin b12, Iron blood level]",What can cause angular cheilitis besides anemia or vitamin deficiency?
"Herpes Transmission Herpes simplex virus (hsv) has two types: type i generally infects the mouth and produces ""fever blisters"". Type ii more commonly is genital. However, performing oral sex on someone infected with hsv i or ii can result in oral herpes. There are blood tests that can quickly determine if you've been infected with either strain. Antivirals help to reduce shedding and infection.",1381714,2,1008,10045387,"1,181","Virginia Commonwealth University School of Medicine, VA",19years,"[11447928, 11208135, 11188319, 10014344, 10004464, 11045923, 10000361, 10014830, 10049991, 12593954, 10000090, 10011998, 10004481, 10054562, 11109271, 10073610, 10038721, 10023207, 11520083, 10010725]","579,814","[Prostate cancer, BPH, Prostate specific antigen, Erectile dysfunction, Testosterone, Urinary incontinence, Robotic surgery, Treating Kidney Stones, Kidney cancer]","I have trained and maintained a practice in Memphis, TN over the past 19 years. I have extensive experience in Robotic Assisted surgery. I also provide all major services in Urology, such as male infertility and hypogonadism (low T), urinary stones, incontinence and oncology treatments.","[Highly knowledgeable. Well respected., Great responses. Recommend highly.]",6,Urology,625,"[Cold sore, Genital herpes, Herpes, Fever, Antiviral, Virus, Herpes simplex, Hsv, Sex]",Does the same virus that causes genital herpes cause cold sores?
"Yes Oral herpes (cold sores) and genital herpes are both caused by herpes simplex virus. Oral infections are usually caused by the type 1 virus strain, and genital infections by the type 2 strain. However, these are equal opportunity viruses so the usually oral type 1 strain can cause herpes in the genital location, and the usually type 2 genital strain can cause oral herpes.",19730,1,1008,10002337,"38,528",,28years,"[12838194, 12838195, 11080084, 10538896, 11193644, 10073610, 10003512, 10056744, 10000610, 11092579, 10057041, 10000041, 11642873, 11682263, 11827603, 10014285, 10014441, 11946059, 10523999, 11889558]","13,624,857","[Children's health, Vaccinations]","Dr. Robert Kwok has been practicing general pediatrics for over twenty years. Before opening his Los Gatos office near San Jose, California, he graduated from Rice University and Baylor College of Medicine in Texas. In his current practice, he is part of Stanford Health Care, and takes care of children from newborns to high school students. He serves up helpful, sensible answers at every office visit, and can be overheard saying, ""Vaccinate all your kids, talk with them every day, and give us a call if one of them is ill or needs a check-up."" Dr. Kwok likes HealthTap because it gives him a way to deliver accurate medical information to people in the community and far beyond. He also likes the way members can read multiple answers to a question, to get several doctors' opinions on an issue. Members can easily share good answers or tips with family and friends through Facebook or Twitter.","[I enjoy reading Dr. Kwok's advice on Health Tap. I'm impressed by the broad scope of his medical knowledge, his sense of humor and his skill in explaining medical issues to patients in plain English without resorting to medical jargon. He is an asset to Health Tap., Dr. Kwok is a kind and knowledgable physician who is always a pleasure to interact and work with.  I would highly recommend as a pediatrician in the south bay area!, Fast, Fantastic answers to often complex questions, truly an asset to the Medical Community. A true national leader in children's health care., Committed to next generation healthcare while maintaining the humanity of physician-patient interaction.  Knowledgeable and experienced., Dr Kwok's posts are always thought provoking.  One can truly see the commitment and passion to medicine.  Keep the great answers coming., Excellent contributor to Healthtap. Extremely knowledgeable and graciously shares his gifts with the world. And he has a lot to share!]",323,Pediatrics,"16,233","[Cold sore, Genital herpes, Herpes, Fever, Antiviral, Virus, Herpes simplex, Hsv, Sex]",Does the same virus that causes genital herpes cause cold sores?
Yes and no They are closely related but you can't get genital herpes from an oral sore under normal circumstances.,1299982,1,1008,10004480,"3,007","The University of Iowa Roy J. and Lucille A. Carver College of Medicine, IA",14years,"[10003512, 11447928, 10074501, 12515330, 10013908, 10014592, 10057975, 10004644, 11188319, 11374101, 10049933, 12770019, 10006323, 10014299, 12381652, 10011998, 10070747, 10003218, 12653432, 11755506]","1,961,403","[Erectile dysfunction, Infertility, Penis disorders, Testicular disorders, Male genital disorders, Men's health]","Dr. Mills is a board certified urologist who specializes in male fertility, erectile dysfunction and testosterone replacement. His practice focuses on surgical treatment of male fertility including vasectomy reversal, sperm retrieval, surgical management of impotence and Peyronie's Disease with penile prosthetics and plaque excision and grafting, and optimizing men's health.","[A concise answer, compassion and experience is what you will get when Dr Mills answers one of your questions.  Such a great value to the HealthTap community!, Thanks for your contribution at Health Tap]",8,Urology,935,"[Cold sore, Genital herpes, Herpes, Fever, Antiviral, Virus, Herpes simplex, Hsv, Sex]",Does the same virus that causes genital herpes cause cold sores?
