n_agree,n_ans,n_article,n_ask,n_collection,n_editlog,n_followee,n_follower,n_thanks,n_topic,answerer_id
7,7,0,0,2,1,15,14,3,4,80woman
35,7,0,0,0,15,40,24,5,1,82982
0,1,0,0,0,0,2,3,0,0,908x
41,19,0,3,0,21,21,33,12,58,911qiu
0,5,0,6,0,11,54,9,1,27,920sh
2,1,0,5,2,0,8,4,0,2,a-bu-11-59
0,0,0,0,0,0,1,0,0,27,a-hong-15
9,18,0,16,1,42,207,25,6,9,a-kai-99
1,10,0,4,1,4,23,7,1,12,a-la-chu
927,44,0,6,2,35,275,342,184,10,a-le-21
3,3,0,0,0,0,45,19,4,5,a-lie
5,5,0,0,0,0,4,79,3,0,a-man-28
4,3,0,0,0,0,2,2,0,5,a-mao-a-gou
0,1,0,0,1,0,1,1,0,7,a-mo-87
6,8,0,6,2,30,58,53,0,25,a-pei-89
1,3,0,0,0,0,4,0,1,13,a-shuang
11,5,0,12,1,10,34,18,1,1,a-shui-97
951,108,0,3,6,4,74,137,222,10,a-su
2,7,0,0,1,0,48,0,2,5,a-tigerx
1,3,0,1,23,6,7,0,1,8,a-ya-ya-42
1,1,0,0,0,0,17,3,0,29,a-zhuo
12,8,0,2,0,5,0,9,2,17,aaron-43
1,2,0,0,0,0,38,5,1,150,aaron-joy
719,31,0,5,7,19,70,413,220,14,aaronchao
1,6,0,6,0,13,167,30,0,10,AaronHsiun
1,5,0,0,0,0,5,4,1,32,abaoha
0,1,0,0,3,0,2,0,0,2,abbyabbie
95,32,0,1,0,22,37,78,30,27,abimelech
0,0,0,0,2,0,34,0,0,8,absinthe
6,8,0,1,15,0,41,4,2,2,ace-96
1373,109,0,9,29,221,177,850,449,54,aceli
16,3,0,0,0,0,0,41,6,3,acgism
53,34,0,3,0,8,16,11,21,3,Achilles48
0,1,0,19,22,234,2,111,1,2,acpie-cifrzhao
658,95,4,4,9,314,105,119,101,37,acsaga
365,88,0,2,0,53,138,69,71,8,actuallyzky
9,34,0,1,2,3,246,35,6,5,acura
252,42,0,10,3,45,67,175,70,4,acwind
0,1,0,1,0,10,16,2,0,11,ada-13
0,2,0,2,7,6,8,1,1,45,ada-cao
0,1,0,1,0,1,0,0,0,9,adai-86
3,10,0,1,12,9,175,21,2,6,adai
19,3,0,6,32,19,238,22,6,1,adam-86
1,3,0,0,1,0,7,2,0,3,adam-wu
8,8,0,0,2,2,91,27,3,8,adamlau
0,1,0,0,0,0,3,3,0,20,adamliu
1,4,0,0,1,0,4,2,1,2,adamo
1,6,0,0,0,2,6,7,1,4,adamz
0,0,0,0,0,0,0,0,0,0,adaxu
6,6,0,9,0,37,14,57,4,1,adian
111,11,0,1,3,1,74,254,50,4,adiemusy
0,1,0,0,0,0,5,9,0,2,adlee
6,4,0,0,1,0,5,0,2,1,adonis0910
6,13,0,0,3,0,106,51,4,1,adou
101,36,0,1,14,4,36,27,17,2,adrianx
0,1,0,0,0,0,1,1,0,0,adriasdeepsea
0,1,0,0,0,0,12,3,0,0,adsense
0,2,0,3,2,8,19,4,1,1,adventures
0,2,0,0,0,0,2,1,0,8,aerocrying
